word	rank	freq_per_million	POS
the	1	1000000.0	NN
be	2	500000.0	NN
to	3	333333.33	NN
of	4	250000.0	NN
and	5	200000.0	NN
a	6	166666.67	NN
in	7	142857.14	NN
that	8	125000.0	NN
have	9	111111.11	NN
it	10	100000.0	NN
for	11	90909.09	NN
not	12	83333.33	NN
on	13	76923.08	NN
with	14	71428.57	NN
he	15	66666.67	NN
as	16	62500.0	NN
you	17	58823.53	NN
do	18	55555.56	NN
at	19	52631.58	NN
this	20	50000.0	NN
but	21	47619.05	NN
his	22	45454.55	NN
by	23	43478.26	NN
from	24	41666.67	NN
they	25	40000.0	NN
we	26	38461.54	NN
say	27	37037.04	NN
her	28	35714.29	NN
she	29	34482.76	NN
or	30	33333.33	NN
an	31	32258.06	NN
will	32	31250.0	NN
my	33	30303.03	NN
one	34	29411.76	NN
all	35	28571.43	NN
would	36	27777.78	NN
there	37	27027.03	NN
their	38	26315.79	NN
what	39	25641.03	NN
so	40	25000.0	NN
up	41	24390.24	NN
out	42	23809.52	NN
if	43	23255.81	NN
about	44	22727.27	NN
who	45	22222.22	NN
get	46	21739.13	NN
which	47	21276.6	NN
go	48	20833.33	NN
me	49	20408.16	NN
when	50	20000.0	NN
make	51	19607.84	NN
can	52	19230.77	NN
like	53	18867.92	NN
time	54	18518.52	NN
no	55	18181.82	NN
just	56	17857.14	NN
him	57	17543.86	NN
know	58	17241.38	NN
take	59	16949.15	NN
people	60	16666.67	NN
into	61	16393.44	NN
year	62	16129.03	NN
your	63	15873.02	NN
good	64	15625.0	NN
some	65	15384.62	NN
could	66	15151.52	NN
them	67	14925.37	NN
see	68	14705.88	NN
other	69	14492.75	NN
than	70	14285.71	NN
then	71	14084.51	NN
now	72	13888.89	NN
look	73	13698.63	NN
only	74	13513.51	NN
come	75	13333.33	NN
its	76	13157.89	NN
over	77	12987.01	NN
think	78	12820.51	NN
also	79	12658.23	NN
back	80	12500.0	NN
after	81	12345.68	NN
use	82	12195.12	NN
two	83	12048.19	NN
how	84	11904.76	NN
our	85	11764.71	NN
work	86	11627.91	NN
first	87	11494.25	NN
well	88	11363.64	NN
way	89	11235.96	NN
even	90	11111.11	NN
new	91	10989.01	NN
want	92	10869.57	NN
because	93	10752.69	NN
any	94	10638.3	NN
these	95	10526.32	NN
give	96	10416.67	NN
day	97	10309.28	NN
most	98	10204.08	NN
us	99	10101.01	NN
great	100	10000.0	NN
between	101	9900.99	NN
need	102	9803.92	NN
large	103	9708.74	NN
often	104	9615.38	NN
hand	105	9523.81	NN
